#geneID	KO/WT_0h	KO/WT_2h	KO/WT_6h	KO/WT_12h	KO/WT_18h	KO/WT_24h
ENSMUSG00000000001	0.329600	-0.488802	-0.237900	0.129676	-0.355722	-0.025242
ENSMUSG00000000028	0.062719	-0.290885	-0.458163	0.067861	0.347637	-0.226444
ENSMUSG00000000049	-0.116784	0.575985	-0.195611	-0.179955	0.841442	-0.535879
ENSMUSG00000000058	0.278763	-0.701277	-0.208937	0.526288	0.427503	-0.315392
ENSMUSG00000000085	-0.158795	0.028082	-0.440336	0.193277	0.779652	-0.474335
ENSMUSG00000000088	-0.693537	0.100885	-0.041693	0.631515	-0.056127	-0.017731
ENSMUSG00000000120	-0.066806	-0.346712	0.235560	-0.463429	0.408272	0.002932
ENSMUSG00000000125	0.176271	-0.193468	-0.322068	0.630092	0.163992	0.422451
ENSMUSG00000000126	0.065493	0.914063	0.125125	-0.360432	0.268978	0.148855
ENSMUSG00000000127	-0.812402	-0.040566	0.343070	0.280408	-0.118802	-0.424418
ENSMUSG00000000134	0.171953	-0.401040	0.463638	-0.107194	-0.323687	-0.198683
ENSMUSG00000000142	-0.508811	-0.646251	-0.932734	-1.032653	-0.816361	-0.691089
ENSMUSG00000000149	-0.388585	-0.333038	-0.150203	0.022311	0.034205	-0.715394
ENSMUSG00000000154	0.596410	-0.311568	0.635946	-0.473289	-0.337460	-0.088002
ENSMUSG00000000157	-0.077936	-0.270052	0.257213	-0.630712	0.369270	-0.286291
ENSMUSG00000000159	0.438060	-0.143050	-0.489670	0.157190	0.780560	-0.018356
ENSMUSG00000000168	0.039020	-0.139781	-0.306785	-0.262964	-0.462251	-0.493161
ENSMUSG00000000171	0.024828	0.567032	0.183083	0.165826	0.087011	-0.302449
ENSMUSG00000000182	0.064860	-0.147553	0.328144	0.430581	0.438809	0.128186
ENSMUSG00000000183	0.365315	-0.231784	-0.034395	-0.073801	-0.316052	-0.358491
ENSMUSG00000000184	-0.309737	-0.160162	-0.673041	0.715454	0.071301	0.016594
