# KEGG pathways Pten has an edge in, with the planted share of each pathway's
# network genes. Context for the walk, NOT enrichment targets: the planted
# signal is Pten's downstream neighbourhood, not any one pathway.
# Generated by src/classes/AIInterpret/walker/simulate_ko.py; do not edit by hand.
mmu00562	Inositol phosphate metabolism	4/75 planted
mmu04068	FoxO signaling pathway	19/106 planted
mmu04070	Phosphatidylinositol signaling system	7/78 planted
mmu04071	Sphingolipid signaling pathway	20/87 planted
mmu04115	p53 signaling pathway	7/51 planted
mmu04151	PI3K-Akt signaling pathway	17/242 planted
mmu04510	Focal adhesion	26/134 planted
mmu05165	Human papillomavirus infection	6/106 planted
mmu05166	Human T-cell leukemia virus 1 infection	8/108 planted
mmu05206	MicroRNAs in cancer	28/274 planted
mmu05208	Chemical carcinogenesis - reactive oxygen species	4/95 planted
mmu05235	PD-L1 expression and PD-1 checkpoint pathway in cancer	14/49 planted
