code	binomial	pubmed_count
aaf	Aureococcus anophagefferens	102
aag	Aedes aegypti	14108
aalb	Aedes albopictus	5780
aali	Anopheles albimanus	512
aara	Anopheles arabiensis	1143
abp	Agaricus bisporus	1774
abrc	Anser brachyrhynchus	31
abru	Argiope bruennichi	54
acan	Acanthamoeba castellanii	1629
acep	Atta cephalotes	78
achc	Aquila chrysaetos	138
acoo	Adelges cooleyi	11
acoz	Anopheles coluzzii	516
acs	Anolis carolinensis	632
act	Aspergillus clavatus	233
acun	Athene cunicularia	72
acyg	Anser cygnoides	198
adar	Anopheles darlingi	414
adr	Apis dorsata	152
aec	Acromyrmex echinatior	59
aflr	Apis florea	82
afm	Aspergillus fumigatus	12830
afun	Anopheles funestus	859
afv	Aspergillus flavus	6348
aga	Anopheles gambiae	5683
agb	Anoplophora glabripennis	206
agif	Aphidius gifuensis	58
agrg	Anthonomus grandis	220
ahf	Arachis hypogaea	2752
ajc	Anneissia japonica	6
aje	Histoplasma mississippiense	4
alud	Anastrepha ludens	240
aly	Arabidopsis lyrata	356
ame	Apis mellifera	8525
amer	Anopheles merus	45
amex	Astyanax mexicanus	403
amil	Acropora millepora	244
aml	Ailuropoda melanoleuca	561
anan	Aotus nancymaae	98
ang	Aspergillus niger	10821
ani	Aspergillus nidulans	5195
aoce	Amphiprion ocellaris	104
aof	Asparagus officinalis	427
aoq	Anastrepha obliqua	111
aor	Aspergillus oryzae	3552
api	Acyrthosiphon pisum	1140
apla	Anas platyrhynchos	1775
aplc	Acanthaster planci	148
apln	Agrilus planipennis	252
aqu	Amphimedon queenslandica	108
aroa	Athalia rosae	67
arow	Apteryx rowi	7
aste	Anopheles stephensi	2170
atd	Aethina tumida	117
aten	Actinia tenebrosa	20
ath	Arabidopsis thaliana	51204
atr	Amborella trichopoda	113
atra	Amyelois transitella	99
ats	Aegilops tauschii	662
baff	Bombus affinis	15
bany	Bicyclus anynana	228
bbig	Babesia bigemina	851
bbo	Babesia bovis	1221
bmor	Bombyx mori	8252
boe	Brassica oleracea	3204
bta	Bos taurus	4420
cal	Candida albicans	45078
cci	Coprinopsis cinerea	301
cel	Caenorhabditis elegans	31694
cfa	Canis lupus	2062
cge	Cricetulus griseus	223
cgi	Cryptococcus gattii	1146
chx	Capra hircus	1361
cic	Citrus x	62
clum	Cyclopterus lumpus	165
cnb	Cryptococcus deneoformans	56
cne	Cryptococcus deneoformans	56
cpoo	Crocodylus porosus	237
cre	Chlamydomonas reinhardtii	6912
crg	Magallana gigas	196
ctp	Candida tropicalis	4326
ddi	Dictyostelium discoideum	6064
dme	Drosophila melanogaster	41928
dosa	Oryza sativa	17788
dre	Danio rerio	12343
dsq	Dichomitus squalens	79
ecb	Equus caballus	981
fgr	Fusarium graminearum	3609
fme	Fomitiporia mediterranea	38
fox	Fusarium oxysporum	6899
gga	Gallus gallus	3606
gmx	Glycine max	9919
gtr	Gloeophyllum trabeum	152
hir	Heterobasidion irregulare	33
hmg	Hydra vulgaris	321
hsa	Homo sapiens	5830
iti	Ictidomys tridecemlineatus	194
lbc	Laccaria bicolor	238
lma	Leishmania major	5215
lsv	Lactuca sativa	3097
mdm	Malus domestica	2349
mesc	Manihot esculenta	1290
mmu	Mus musculus	6807
ncr	Neurospora crassa	6650
oas	Ovis aries	1894
ocu	Oryctolagus cuniculus	2142
ogl	Oryza glaberrima	192
osa	Oryza sativa	17788
pco	Phanerochaete carnosa	22
pdul	Prunus dulcis	479
pfa	Plasmodium falciparum	39627
pop	Populus trichocarpa	1264
pper	Prunus persica	1502
ppp	Physcomitrium patens	408
psq	Punctularia strigosozonata	5
ptep	Parasteatoda tepidariorum	92
ptr	Pan troglodytes	2992
rno	Rattus norvegicus	4583
sbi	Sorghum bicolor	2926
sce	Saccharomyces cerevisiae	81383
scm	Schizophyllum commune	1058
shs	Stereum hirsutum	84
sly	Solanum lycopersicum	7149
sot	Solanum tuberosum	5149
spo	Schizosaccharomyces pombe	9167
ssc	Sus scrofa	4574
ssl	Sclerotinia sclerotiorum	2222
taes	Triticum aestivum	12803
tgu	Taeniopygia guttata	1230
tms	Tremella mesenterica	29
tre	Trichoderma reesei	2792
tvs	Trametes versicolor	1335
vde	Varroa destructor	1208
vra	Vigna radiata	1596
vvi	Vitis vinifera	6107
xtr	Xenopus tropicalis	1120
yli	Yarrowia lipolytica	2800
zma	Zea mays	15325
aacu	Anas acuta	104
aage	Aricia agestis	14
aalt	Alternaria alternata	2922
aam	Apteryx mantelli	51
aamp	Arvicola amphibius	47
aamu	Asterias amurensis	155
aang	Anguilla anguilla	1538
aans	Argentina anserina	19
abe	Trichophyton benhamiae	71
abv	Agaricus bisporus	1774
acak	Aristolochia californica	2
acar	Antrostomus carolinensis	1
acat	Aquarana catesbeiana	44
acer	Apis cerana	857
ache	Aspergillus chevalieri	83
achl	Acanthisitta chloris	10
acoc	Atta colombica	44
acoe	Aphelocoma coerulescens	74
acos	Anopheles coustani	83
adac	Alternaria dauci	46
adf	Acropora digitifera	130
adl	Auricularia subglabra	5
adu	Arachis duranensis	98
aew	Actinidia eriantha	92
afb	Anoplopoma fimbria	62
afil	Amphiura filiformis	50
afor	Aptenodytes forsteri	107
afra	Artemia franciscana	627
aful	Aythya fuligula	59
afz	Antechinus flavipes	26
agen	Astur gentilis	5
aglu	Alnus glutinosa	378
ago	Eremothecium gossypii	17
agrv	Apium graveolens	573
ags	Aphis gossypii	827
aib	Anomalospiza imberbis	17
aip	Arachis ipaensis	69
airr	Argopecten irradians	211
ajj	Apostichopus japonicus	823
ajm	Artibeus jamaicensis	146
aju	Acinonyx jubatus	434
alab	Apis laboriosa	12
alat	Acanthopagrus latus	112
alim	Austrofundulus limnaeus	49
aluc	Aspergillus luchuensis	110
amap	Anopheles maculipalpis	5
amen	Ascidia mentula	7
amir	Anarhichas minor	43
amj	Alligator mississippiensis	682
ammm	Ammodytes marinus	16
amou	Anopheles moucheti	36
amrs	Anopheles marshallii	9
amua	Acropora muricata	51
amus	Akanthomyces muscarius	21
anil	Anopheles nili	46
anoc	Athene noctua	92
anu	Arvicanthis niloticus	210
apan	Andrographis paniculata	1423
aprc	Abrus precatorius	327
apri	Ahaetulla prasina	7
apro	Auxenochlorella protothecoides	77
apur	Augochlora pura	3
apuu	Aspergillus puulaauensis	11
arab	Ascochyta rabiei	149
arot	Anguilla rostrata	283
arun	Luidia clathrata	12
arut	Acipenser ruthenus	241
asad	Alosa sapidissima	58
asao	Anolis sagrei	207
asau	Australozyma saopauloensis	0
asn	Alligator sinensis	102
astr	Antennarius striatus	5
asua	Armigeres subalbatus	218
asyl	Apodemus sylvaticus	564
atrc	Agelaius tricolor	7
atri	Amaranthus tricolor	169
avit	Apaloderma vittatum	1
bacu	Balaenoptera acutorostrata	195
barl	Babylonia areolata	40
bbel	Branchiostoma belcheri	227
bbes	Besnoitia besnoiti	215
bbif	Bombus bifarius	12
bbuf	Bufo bufo	885
bcom	Baudoinia panamericana	1
bcoo	Bradysia coprophila	12
bfer	Bombus fervidus	9
bfre	Brachyistius frenatus	2
bhw	Bidens hawaiensis	1
bke	Bubalus kerabau	1
bnn	Brettanomyces nanus	1
bobo	Brevipalpus obovatus	8
bpyo	Bombus pyrosoma	7
brhi	Buceros rhinoceros	2
bvan	Bombus vancouverensis	6
cabi	Chelonoidis abingdonii	3
cana	Clinocottus analis	11
canu	Magallana angulata	4
cbrm	Coenobita brevimanus	9
ccac	Cutaneotrichosporon cavernicola	3
cclm	Corticium candelabrum	6
ccoa	Cyphomyrmex costatus	1
ccrc	Colias croceus	11
cdec	Cryptococcus decagattii	3
cdep	Cryptococcus depauperatus	3
cery	Chanodichthys erythropterus	11
cfai	Chamaea fasciata	5
cgig	Colletes gigas	7
cgob	Cottoperca gobio	9
cins	Chelonus insularis	12
cit	Citrus sinensis	1835
clon	Condylostylus longicornis	1
clud	Canis lupus	2062
clus	Clavispora lusitaniae	176
cmy	Chelonia mydas	1052
cnic	Caloenas nicobarica	3
cot	Lodderomyces orthopsilosis	0
cpap	Carica papaya	1410
cpea	Chaetura pelagica	11
cstb	Cydia strobilella	7
csti	Colius striatus	8
csyr	Carlito syrichta	9
cteg	Cryptococcus tetragattii	8
cten	Yamadazyma tenuis	6
cthr	Thermochaetoides thermophila	4
ctig	Crotalus tigris	4
ctul	Cyprinodon tularosa	5
ctyp	Cotesia typhae	11
cvf	Charadrius vociferus	11
daes	Danio aesculapii	7
dam	Diachasma alloeum	12
dcor	Dalotia coriaria	7
dfa	Cavenderia fasciculata	2
dgt	Dendronephthya gigantea	10
dnv	Drosophila navojoa	5
dpub	Dryobates pubescens	6
dsm	Diprion similis	6
eaf	Eurytemora carolleeae	6
earm	Enoplosus armatus	1
eclr	Epargyreus clarus	6
ecra	Etheostoma cragini	4
ehs	Eurypyga helias	2
erc	Eremothecium cymbalariae	6
ero	Encephalitozoon romaleae	6
esim	Euwallacea similis	2
esp	Etheostoma spectabile	7
etl	Empidonax traillii	9
fve	Fragaria vesca	576
gae	Gigantopelta aegis	8
gmu	Girardinichthys multiradiatus	12
gsh	Geotrypetes seraphini	7
gvr	Galeopterus variegatus	11
haka	Hemitrygon akajei	8
hcg	Hemicordylus capensis	4
hek	Heliangelus exortis	3
hpum	Henckelia pumila	0
hsq	Hyla sarda	5
kaf	Kazachstania africana	3
kbi	Kwoniella bestiolae	0
kbo	Kwoniella botswanensis	1
kdj	Kwoniella dejecticola	0
kep	Kwoniella dendrophila	0
ker	Kwoniella europaea	2
kmg	Kwoniella mangroviensis	3
kne	Kwoniella newhampshirensis	4
kng	Huiozyma naganishii	0
kpin	Kwoniella pini	0
ksh	Kwoniella shivajii	0
ksn	Kwoniella shandongensis	3
lbg	Lodderomyces beijingensis	3
lcai	Lichenostomus cassidix	0
ldi	Leptosomus discolor	0
lein	Leishmania sp. Namibia	0
leis	Leishmania sp. Ghana 2012 LV757	0
leri	Leucoraja erinaceus	1
llon	Lineus longissimus	9
lmix	Labrus mixtus	4
maen	Molothrus aeneus	0
mbe	Drepanopeziza brunnea	0
mcaz	Montipora capricornis	11
mfoo	Montipora foliosa	7
mfot	Alexandromys fortis	1
mjp	Malassezia japonica	8
mjv	Manis javanica	111
mnb	Merops nubicus	3
mng	Monoraphidium neglectum	7
msin	Magnolia sinica	7
mui	Mesitornis unicolor	1
muo	Microcaecilia unicolor	5
mves	Malassezia vespertilionis	1
mzt	Mycetomoellerius zeteki	0
ndi	Naumovozyma dairenensis	4
nfb	Neodiprion fabricii	0
ngi	Nannospalax galili	7
ngra	Neoarius graeffei	9
nhe	Fusarium vanettenii	8
niq	Nymphalis io	4
nmay	Nesoenas mayeri	8
npa	Neofusicoccum parvum	176
npd	Nothoprocta perdicaria	10
npt	Neodiprion pinetum	4
nvg	Neodiprion virginianus	0
nwh	Nematolebias whitei	2
oma	Oenanthe melanoleuca	2
otc	Onychostruthus taczanowskii	4
pbel	Podospora bellae-mahoneyi	1
